Date,Open,High,Low,Close,Change,% Change,Volume Traded
3/11/2012,41.4,41.7,41.2,41.6,-0.1,-0.24,487410
4/11/2012,41.5,41.7,41.4,41.6,0,0,447349
5/11/2012,41.6,41.6,41.2,41.3,-0.3,-0.72,741787
6/11/2012,41.4,42.1,41.3,42.1,0.8,1.94,897098
7/11/2012,42.1,42.4,42,42.3,0.2,0.48,1267367
10/11/2012,42.1,42.1,41.7,41.9,-0.4,-0.95,686459
11/11/2012,41.9,42,41.7,41.7,-0.2,-0.48,413188
12/11/2012,41.7,41.7,41.6,41.7,0,0,369840
13/11/2012,41.7,41.7,41.1,41.5,-0.2,-0.48,451917
14/11/2012,41.5,41.5,41.1,41.4,-0.1,-0.24,485651
17/11/2012,41.3,41.3,41,41.2,-0.2,-0.48,263447
18/11/2012,40.9,41.2,40.8,41.1,-0.1,-0.24,351680
19/11/2012,41.1,41.1,39.9,40.4,-0.7,-1.7,572207
20/11/2012,40.5,40.8,40.1,40.6,0.2,0.5,210411
21/11/2012,40.5,40.5,40,40.2,-0.4,-0.99,545671
24/11/2012,40.2,40.7,40.1,40.5,0.3,0.75,524791
25/11/2012,40.5,40.5,39.9,40.1,-0.4,-0.99,497999
26/11/2012,40.1,40.6,39.5,40.5,0.4,1,678122
27/11/2012,40.5,40.5,40,40.1,-0.4,-0.99,467719
28/11/2012,40,40.3,40,40.3,0.2,0.5,499103
1/12/2012,40.5,41.1,40.5,41,0.7,1.74,467613
2/12/2012,41.1,41.1,40.7,40.9,-0.1,-0.24,644836
3/12/2012,40.9,40.9,40.7,40.8,-0.1,-0.24,518932
4/12/2012,40.8,41,40.7,41,0.2,0.49,336891
5/12/2012,40.9,40.9,40.7,40.9,-0.1,-0.24,357056
8/12/2012,40.9,41.2,40.8,41,0.1,0.24,740547
9/12/2012,41.1,41.2,41,41.2,0.2,0.49,266536
10/12/2012,41.1,41.3,41,41.2,0,0,410072
11/12/2012,41.2,41.6,41.2,41.6,0.4,0.97,436243
