STC_Date,STC_Open,STC_High,STC_Low,STC_Close
2012-03-11,41.4,41.7,41.2,41.6
2012-04-11,41.5,41.7,41.4,41.6
2012-05-11,41.6,41.6,41.2,41.3
2012-06-11,41.4,42.1,41.3,42.1
2012-07-11,42.1,42.4,42.0,42.3
2012-10-11,42.1,42.1,41.7,41.9
2012-11-11,41.9,42.0,41.7,41.7
2012-12-11,41.7,41.7,41.6,41.7
2012-11-13,41.7,41.7,41.1,41.5
2012-11-14,41.5,41.5,41.1,41.4
2012-11-17,41.3,41.3,41.0,41.2
2012-11-18,40.9,41.2,40.8,41.1
2012-11-19,41.1,41.1,39.9,40.4
2012-11-20,40.5,40.8,40.1,40.6
2012-11-21,40.5,40.5,40.0,40.2
2012-11-24,40.2,40.7,40.1,40.5
2012-11-25,40.5,40.5,39.9,40.1
2012-11-26,40.1,40.6,39.5,40.5
2012-11-27,40.5,40.5,40.0,40.1
2012-11-28,40.0,40.3,40.0,40.3
2012-01-12,40.5,41.1,40.5,41.0
2012-02-12,41.1,41.1,40.7,40.9
2012-03-12,40.9,40.9,40.7,40.8
2012-04-12,40.8,41.0,40.7,41.0
2012-05-12,40.9,40.9,40.7,40.9
2012-08-12,40.9,41.2,40.8,41.0
2012-09-12,41.1,41.2,41.0,41.2
2012-10-12,41.1,41.3,41.0,41.2
2012-11-12,41.2,41.6,41.2,41.6
2012-12-12,41.6,41.6,41.3,41.5
2012-12-15,41.5,42.8,41.5,42.5
2012-12-16,42.5,42.9,42.4,42.7
2012-12-17,42.6,43.0,42.4,42.8
2012-12-18,42.9,43.0,42.7,42.8
2012-12-19,42.8,43.0,42.5,42.8
2012-12-22,42.8,43.2,42.5,43.1
2012-12-23,43.0,43.7,43.0,43.7
2012-12-24,43.6,44.5,43.6,44.1
2012-12-25,44.0,44.6,44.0,44.1
2012-12-26,44.1,44.2,43.5,43.7
2012-12-29,43.6,43.9,43.6,43.8
2012-12-30,43.7,43.7,43.2,43.3
